Date,Service,Amount,Payment_Type
2026-05-04,Quarter Special (Cheese+Egg),35,Cash
2026-05-04,Full Kota (The Works),75,Cash
2026-05-04,Quarter Basic,20,Card
2026-05-05,Half Kota (Russian+Chips),45,Cash
2026-05-05,Quarter Special (Cheese+Egg),35,Cash
2026-05-05,Quarter Special (Cheese+Egg),35,Card
2026-05-06,Full Kota (The Works),75,Cash
2026-05-06,Quarter Basic,20,Cash
2026-05-06,Half Kota (Russian+Chips),45,Cash
2026-05-07,Quarter Special (Cheese+Egg),35,Cash
2026-05-07,Full Kota (The Works),75,Card
2026-05-08,Quarter Basic,20,Cash
2026-05-08,Quarter Special (Cheese+Egg),35,Cash
2026-05-09,Full Kota (The Works),75,Cash
2026-05-09,Half Kota (Russian+Chips),45,Cash
2026-05-09,Quarter Special (Cheese+Egg),35,Cash
2026-05-10,Full Kota (The Works),75,Card
