Date,Service,Amount,Stylist
2026-05-04,Nails,300,Thandi
2026-05-04,Braids,450,Thandi
2026-05-04,Wash,120,Lerato
2026-05-05,Wig Install,800,Lerato
2026-05-05,Acrylic Set,550,Thandi
2026-05-05,Nails,300,Thandi
2026-05-06,Treatment,250,Lerato
2026-05-06,Wash,120,Lerato
2026-05-06,Braids,450,Thandi
2026-05-07,Acrylic Set,550,Thandi
2026-05-07,Wig Install,800,Lerato
2026-05-08,Nails,300,Thandi
2026-05-08,Wash,120,Lerato
2026-05-09,Braids,450,Thandi
2026-05-09,Acrylic Set,550,Thandi
2026-05-10,Treatment,250,Lerato
